ОКЭД,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Производство товаров,6247058.0,6088490.1,6839405.6,7853582.4,9483735.1,10631620.1,11077311.2,12686607.6,16269943.6,17456038.1,18845719.1
"Сельское, лесное и рыбное хозяйство",393494.3,435168.9,480748.7,522147.5,606063.8,678911.8,803610.8,922684.2,1109432.7,1319477.6,1319477.6
Промышленность,5037119.9,4760156.4,5373653.5,6283949.5,7734525.7,8650663.2,8732162.1,10206517.3,13170633.6,13854450.8,14880738.1
Горнодобывающая промышленность и разработка карьеров,2912107.0,2579770.9,2715193.5,3238816.5,4189830.3,4783751.8,4360628.2,5013287.6,6863402.2,6786106.0,7336487.4
Обрабатывающая промышленность,1749333.5,1772653.5,2222204.6,2560757.3,2992380.3,3318029.4,3754421.3,4506592.8,5544062.8,6182096.6,6492927.4
"Снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",326929.7,357433.2,383310.5,423874.8,478744.8,468375.0,527181.0,588070.0,647705.0,755196.9,905060.6
"Водоснабжение; сбор, обработка и удаление отходов, деятельность поликвидации загрязнений",48749.7,50298.8,52944.9,60500.9,73570.3,80507.0,89931.6,98566.9,115463.6,131051.3,146262.7
Строительство,816443.8,893164.8,985003.4,1047485.4,1143145.6,1302045.1,1541538.3,1736876.1,1989877.3,2325325.3,2645503.4
Производство услуг,8823890.8,9872452.4,11281186.6,12186431.1,13515062.0,15006504.9,15594083.6,17117602.2,20250914.2,25563787.2,29808499.9
Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,1382074.4,1439942.3,1670876.3,1862711.5,2154013.6,2489305.0,2543453.0,2871816.4,3414242.9,4187034.7,4668356.1
